problem,click_depth,filter_depth,iterative_distance,number_filters,query_frequency,relevant_new_info,number_measures,consideration_time,elapsed_time,number_cells,rqp,iterative_precision,click_per_query,view_area_increase,execution_time,number_aggregations,aggregation_depth,iterative_recall,number_queries,expected_knowledge,log-position,last-position,sequence,score
dibstudent03--2016-09-24--23-01.log-3,-0.0278635311,-0.3753098313,0.2859251136,-0.488242589,0.7435969838,1.5689394348,2.2370719425,-0.1197980801,-0.904361359,-0.2139107252,-1.3881276607,-1.1869082721,0.0354013416,6.1115774592,-0.0966038144,-1.275846248,-1.3893855276,-1.1503836119,-1.1642338455,0,33,36,dibstudent03--2016-09-24--23-01.log,-0.903400501539743
dibstudent03--2016-09-24--23-01.log-30,-0.7345136397,-0.3753098313,-0.7047755645,-0.488242589,0.0734152226,1.1558330873,-0.1105679236,-0.4037945652,-0.5384240803,-0.1296019324,1.2085285059,0.9372741394,-0.6175567376,-0.1444585767,-0.1530425831,-0.2836421386,-0.5173876397,0.956849521,0.1615019511,0,33,36,dibstudent03--2016-09-24--23-01.log,-0.423078739136902
dibstudent03--2016-09-24--23-01.log-31,-0.4989636035,-0.3753098313,0.2859251136,-0.488242589,0.0904754575,0.8044222745,-0.1105679236,-0.3816365645,-0.536624657,-0.1973795894,1.3047009566,-1.1869082721,-0.6175567376,0.6672865912,-0.1530425831,-1.275846248,-1.3893855276,-1.1503836119,0.2106032769,0,33,36,dibstudent03--2016-09-24--23-01.log,-1.36741682544473
dibstudent03--2016-09-24--23-01.log-32,-0.7345136397,-0.3753098313,-0.7047755645,-0.488242589,0.1042024086,0.8044222745,-0.1105679236,-0.0365962206,-0.5329027951,-0.1973795894,1.4008734072,0.9372741394,-0.6175567376,-0.1444585767,-0.1530425831,-1.275846248,-1.3893855276,0.956849521,0.2597046027,1,33,36,dibstudent03--2016-09-24--23-01.log,-0.762414034716964
dibstudent03--2016-09-24--23-01.log-33,-0.2634135673,1.2949077402,7.2208298603,5.2358727726,0.0713595793,0.5634708128,-0.1105679236,-0.1332226006,-0.4992463805,-0.2039920437,1.4970458578,0.9372741394,0.0354013416,-0.1444585767,-0.1534457171,-1.275846248,-1.3893855276,0.5354028944,0.3088059285,1,33,36,dibstudent03--2016-09-24--23-01.log,1.2036947011733
dibstudent03--2016-09-24--23-01.log-34,-0.4989636035,1.2949077402,-0.2094252255,5.2358727726,0.0539517829,1.1430386485,1.0632520095,0.0866680282,-0.4738084232,-0.1775422263,1.5932183084,-0.1248170664,-0.6175567376,0.4824962225,-0.1026508254,-1.275846248,-1.3893855276,0.956849521,0.3579072543,1,33,36,dibstudent03--2016-09-24--23-01.log,2.7394155437616
dibstudent03--2016-09-24--23-01.log-35,-0.7345136397,1.2949077402,-0.7047755645,5.2358727726,0.016221493,1.1430386485,1.0632520095,-0.4242933554,-0.4294562361,-0.1775422263,1.689390759,0.9372741394,-0.6175567376,-0.1444585767,-0.1530425831,-1.275846248,-1.3893855276,0.956849521,0.4070085801,1,33,36,dibstudent03--2016-09-24--23-01.log,2.92881740546819
dibstudent03--2016-09-24--23-01.log-4,-0.2634135673,-0.3753098313,-0.2094252255,-0.488242589,0.2171785615,-0.1028248047,2.2370719425,-0.3559489708,-0.8774720849,0.0439749941,-1.2919552101,-1.1869082721,-0.291077698,15.2999298729,-0.0143644658,-0.2836421386,-0.9533865837,-1.1503836119,-1.1151325197,0,33,36,dibstudent03--2016-09-24--23-01.log,-1.31663024213706
dibstudent03--2016-09-24--23-01.log-5,-0.4989636035,-0.3753098313,-0.7047755645,-0.488242589,0.2740142602,-0.1028248047,2.2370719425,0.2646108014,-0.8715019253,0.0439749941,-1.1957827595,0.9372741394,-0.291077698,-0.1444585767,-0.1469955721,-0.2836421386,-0.9533865837,0.956849521,-1.0660311939,0,33,36,dibstudent03--2016-09-24--23-01.log,-0.0347825795750929
dibstudent03--2016-09-24--23-01.log-6,-0.7345136397,-0.3753098313,-0.2094252255,-0.488242589,-0.0792751077,0.1489424267,2.2370719425,0.3329551861,-0.8116707713,-0.1378675003,-1.0996103089,-1.1869082721,-0.6175567376,3.9032715118,-0.1405454272,-1.275846248,-1.3893855276,-1.1503836119,-1.0169298681,0,33,36,dibstudent03--2016-09-24--23-01.log,-1.06735284198205
